Date,Price,Open,High,Low,Volume,Chg%
2025-02-12,85024,84631,85181,84180,28792,-0.1
2025-02-11,85113,85498,85875,84436,36373,-0.23
2025-02-10,85308,84690,85427,84589,26703,1.1
2025-02-07,84378,84044,84690,83906,29656,0.62
2025-02-06,83856,84043,84245,83371,26411,-0.14
2025-02-05,83976,83324,84274,83276,29476,0.98
2025-02-04,83162,82661,83194,82309,21445,0.65
2025-02-03,82625,81243,83060,81202,25861,1.18
2025-02-01,81663,81200,82730,81003,13528,-0.21
2025-01-31,81836,81890,82094,81551,1125,0.36
2025-01-30,81539,80509,81800,80380,3833,1.53
2025-01-29,80310,80247,80730,80195,11055,0.18
2025-01-28,80163,79628,80199,79552,9023,0.82
2025-01-27,79510,79944,80000,79431,18521,-0.54
2025-01-24,79944,79950,80221,79687,13556,0.44
2025-01-23,79594,79400,79619,79251,14044,0.07
2025-01-22,79535,79267,79587,79257,14648,0.45
2025-01-21,79179,78855,79300,78782,14484,0.83
2025-01-20,78530,78890,79135,78430,17304,-0.6
2025-01-17,79003,79055,79149,78741,14402,-0.2
2025-01-16,79160,78688,79190,78687,16603,0.64
2025-01-15,78658,78323,78706,78228,16143,0.65
2025-01-14,78151,78195,78415,77770,13273,-0.01
2025-01-13,78159,78203,78717,78090,17089,-0.3
2025-01-10,78398,78389,78728,78018,25071,0.42
2025-01-09,78068,77849,78218,77765,14396,0.43
2025-01-08,77737,77450,78049,77361,21727,0.29
2025-01-07,77514,77189,77799,77100,21208,0.47
2025-01-06,77149,77309,77542,76545,27160,0.44
2025-01-03,76813,77246,78600,76613,60,-0.05
2025-01-02,76849,76849,76849,76849,0,0.83
2025-01-01,76214,76232,76302,76053,60,-0.02
